type,id,serial_number,brand,model,status,location,value,additional_info
Monitor,6,1342vcdv324,dell,Model,not_working,Storage,0,"Size: 24, Resolution: 2560x1440"
Monitor,7,dsf325rfsfe,samsung,adsfsdf,not_working,Storage,0,"Size: 22, Resolution: 1366x768"
Monitor,8,dfgsgew,HP,sgfsdg,not_working,office_b,10000000.00,"Size: 20, Resolution: 1366x768"
"System Unit",5,SYS-DELL001,Dell,"Dell XPS 13",assigned,"IT Department",0,"OS: Windows 11 Pro, Type: pre_built"
"System Unit",6,sdfs,fgsdfg,sdfs,maintenance,"Service Center",0,"OS: sdfgdsf, Type: pre_built"
"System Unit",7,sdfsd,sdfsdf,scxvcx,assigned,"IT Department",0,"OS: dgdszf, Type: pre_built"
"System Unit",8,test,test,test,maintenance,"Service Center",0,"OS: test, Type: pre_built"
"System Unit",9,asdgfasdfg,asdf,,assigned,"IT Department",456.00,"OS: , Type: pre_built"
"System Unit",10,SYS-MSAMA8GJ,,,assigned,"IT Department",123.00,"OS: , Type: pre_built"
"System Unit",11,sgdfg,wegsg,dfgsg,available,secure_storage,123.00,"OS: dsfgdg, Type: pre_built"
Peripheral,1,N/A,logitech,sdfsdfsdf,"Stock: 4/5",Various,0,"Type: keyboard, Deployed: 1"
Peripheral,3,N/A,razer,asfsdfsdf,"Stock: 3/4",Various,342234.00,"Type: mouse, Deployed: 1"
Part,2,N/A,N/A,,"Stock: 0/0",Inventory,0,"Category: "
Part,3,N/A,N/A,,"Stock: 1/1",Inventory,0,"Category: "
Part,4,N/A,N/A,,"Stock: 1/1",Inventory,314.00,"Category: "
Part,5,N/A,N/A,,"Stock: 1/1",Inventory,213.00,"Category: "
Part,6,N/A,N/A,,"Stock: 1/1",Inventory,341.00,"Category: "
Device,1,HP123456789,N/A,"HP Zenbook 10",Working,N/A,0,"Type: , Name: "
Device,2,APPLE987654321,N/A,"MacBook Air",Defective,N/A,0,"Type: , Name: "
Device,3,MSI456789123,N/A,"Gaming Pro 3",Working,N/A,0,"Type: , Name: "
Device,6,asdsa,N/A,asdas,Defective,N/A,4353.00,"Type: , Name: "
Device,8,ewqr2352,N/A,eygerhe,Working,N/A,0,"Type: , Name: "
Device,9,fgjdfj,N/A,djfrt,Working,N/A,0,"Type: , Name: "
Device,10,fgsdhfhd,N/A,drtyhrt,Working,N/A,0,"Type: , Name: "
Device,11,dhrthe3a6q,N/A,sdhghf,Working,N/A,0,"Type: , Name: "
Device,12,eryhs3e562t,N/A,rsthrth,Working,N/A,0,"Type: , Name: "
Device,13,srthe45y,N/A,45y45y,Working,N/A,0,"Type: , Name: "
Device,14,rsdhe5y35,N/A,dhrh54,Working,N/A,0,"Type: , Name: "
Device,15,36rtgf36,N/A,reh65uy,Working,N/A,1234.00,"Type: , Name: "
Device,16,"dsg54362 tfg",N/A,fgsdhr,Working,N/A,345.02,"Type: , Name: "
